EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0001,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,MEASURE VIA CD
valid_0002,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,MEASURE PAD OPENING,CLEAN AFTER METAL ETCH
valid_0003,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,MEASURE LINE WIDTH
valid_0004,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0005,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,MEASURE LINE WIDTH
valid_0006,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST
valid_0007,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE LINE WIDTH,MEASURE SURFACE UNIFORMITY
valid_0008,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST
valid_0009,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE SURFACE UNIFORMITY,IMPLANT SOURCE REGION,DEPOSIT METAL SEED
valid_0010,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0011,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,CLEAN AFTER VIA ETCH
valid_0012,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0013,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY
valid_0014,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0015,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,DEPOSIT METAL SEED,MEASURE LINE WIDTH
valid_0016,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0017,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,DEPOSIT BARRIER METAL,STRIP RESIST,CLEAN AFTER POLY ETCH
valid_0018,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST
valid_0019,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0020,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0021,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER METAL ETCH,STRIP RESIST,DEPOSIT BARRIER METAL
valid_0022,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0023,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,DEPOSIT BARRIER METAL,STRIP RESIST
valid_0024,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0025,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER FIELD ETCH,STRIP RESIST
valid_0026,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0027,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,VIA ETCH,DIELECTRIC ETCH VIA
valid_0028,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,DEVELOP PAD WINDOW,OPEN BOND PAD WINDOW,OPEN PAD WINDOW
valid_0029,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,VIA ETCH,DIELECTRIC ETCH VIA
valid_0030,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0031,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY
valid_0032,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0033,FILL VIA METAL,DEPOSIT METAL SEED,CMP VIA FILL,CMP METAL,FILL VIA TUNGSTEN
valid_0034,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0035,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0036,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH,MEASURE PAD OPENING
valid_0037,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,MEASURE LINE WIDTH
valid_0038,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0039,CMP VIA FILL,CMP METAL,FILL VIA METAL,MEASURE VIA RESISTANCE,MEASURE CONTACT RESISTANCE
valid_0040,MEASURE PAD OPENING,BACKSIDE CLEAN,CLEAN PAD OPENING,BACKSIDE CLEAN FINAL,BACKSIDE THINNING CHECK
valid_0041,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,DEPOSIT METAL SEED
valid_0042,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0043,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,DEPOSIT METAL SEED
valid_0044,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0045,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,DEPOSIT METAL SEED
valid_0046,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0047,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,DEPOSIT PASSIVATION
valid_0048,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0049,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0050,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0051,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0052,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
