EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0001,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN
valid_0002,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0003,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0004,PASSIVATION ETCH,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0005,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0006,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0007,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0008,PASSIVATION ETCH PAD OPENING,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0009,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0010,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0011,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0012,PASSIVATION ETCH PAD OPENING,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0013,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0014,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0015,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0016,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0017,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0018,PASSIVATION ETCH PAD OPENING,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0019,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0020,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0021,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0022,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0023,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0024,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0025,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0026,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0027,STRIP PHOTORESIST,VIA ETCH,HARD BAKE,CLEAN AFTER VIA ETCH,FIELD OXIDE ETCH
valid_0028,PAD WINDOW LITHO,OPEN PAD WINDOW,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,THERMAL OXIDATION
valid_0029,STRIP PHOTORESIST,VIA ETCH,CLEAN AFTER VIA ETCH,HARD BAKE,DEPOSIT BARRIER METAL
valid_0030,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PASSIVATION ETCH,PAD WINDOW LITHO,POST EXPOSE BAKE
valid_0031,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0032,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0033,FILL VIA METAL,DEPOSIT METAL SEED,CMP METAL,CMP VIA FILL,FILL VIA TUNGSTEN
valid_0034,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0035,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,STRIP RESIST
valid_0036,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0037,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0038,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0039,CMP VIA FILL,CMP METAL,FILL VIA METAL,MEASURE CONTACT RESISTANCE,MEASURE VIA RESISTANCE
valid_0040,MEASURE PAD OPENING,BACKSIDE CLEAN,CLEAN PAD OPENING,STRIP RESIST,BACKSIDE THINNING CHECK
valid_0041,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0042,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,PAD WINDOW LITHO,PASSIVATION ETCH,POST EXPOSE BAKE
valid_0043,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0044,PASSIVATION ETCH,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0045,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0046,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0047,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN
