EXAMPLE_ID,FAMILY,CUT,TRUTH,naive_top1,naive_correct,trigram_top1,trigram_correct,raw_lstm_top1,raw_lstm_correct,gpt_top1,gpt_correct,dual_ensemble_top1,dual_ensemble_correct,ensemble3_top1,ensemble3_correct,ensemble_plain_top1,ensemble_plain_correct,trigram_top5,raw_lstm_top5,dual_ensemble_top5,ensemble3_top5,ensemble_plain_top5
val_0000_f60,mosfet,60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,0,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE|STRIP RESIST,DEPOSIT BARRIER METAL|MEASURE VIA CD|IMPLANT SOURCE REGION|DEPOSIT METAL SEED|DEPOSIT PASSIVATION LAYER,DEPOSIT BARRIER METAL|MEASURE VIA CD|DEPOSIT METAL SEED|IMPLANT SOURCE REGION|DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL|MEASURE VIA CD|DEPOSIT METAL SEED|METAL ETCH|SHIP LOT,DEPOSIT BARRIER METAL|MEASURE VIA CD|DEPOSIT METAL SEED|DEPOSIT TUNGSTEN SEED|STRIP RESIST
val_0000_f80,mosfet,80,STRIP PHOTORESIST,DEVELOP PHOTORESIST,0,STRIP RESIST,0,STRIP PHOTORESIST,1,STRIP PHOTORESIST,1,STRIP PHOTORESIST,1,STRIP RESIST,0,STRIP RESIST,0,STRIP RESIST|STRIP PHOTORESIST|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,STRIP PHOTORESIST|STRIP RESIST|STRIP RESIST LEVEL 2|PASSIVATION ETCH|PASSIVATION ETCH PAD OPENING,STRIP PHOTORESIST|STRIP RESIST|STRIP RESIST LEVEL 2|PASSIVATION ETCH|PASSIVATION ETCH PAD OPENING,STRIP RESIST|CLEAN PAD OPENING|HARD BAKE|PASSIVATION ETCH|OXIDE ETCH DRY,STRIP RESIST|CLEAN PAD OPENING|PASSIVATION ETCH|DEVELOP PAD WINDOW|MEASURE PAD OPENING
val_0001_f60,igbt,60,CMP INTERLAYER DIELECTRIC,DEVELOP PHOTORESIST,0,CMP INTERLAYER DIELECTRIC,1,CMP INTERLAYER DIELECTRIC,1,CMP INTERLAYER DIELECTRIC,1,CMP INTERLAYER DIELECTRIC,1,CMP INTERLAYER DIELECTRIC,1,CMP INTERLAYER DIELECTRIC,1,CMP INTERLAYER DIELECTRIC|CMP DIELECTRIC|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,CMP INTERLAYER DIELECTRIC|CMP DIELECTRIC|MEASURE SURFACE PLANARITY|MEASURE FILM THICKNESS|MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC|CMP DIELECTRIC|MEASURE FILM THICKNESS|MEASURE DIELECTRIC THICKNESS|MEASURE SURFACE PLANARITY,CMP INTERLAYER DIELECTRIC|MEASURE PLANARITY|MEASURE DIELECTRIC THICKNESS|ALIGN MASK LEVEL 5|EPITAXIAL LAYER PREP,CMP INTERLAYER DIELECTRIC|MEASURE DIELECTRIC THICKNESS|MEASURE PLANARITY|DENSIFY OXIDE|DENSIFY DIELECTRIC
val_0001_f80,igbt,80,DEPOSIT PASSIVATION,DEVELOP PHOTORESIST,0,DEPOSIT PASSIVATION LAYER,0,DEPOSIT PASSIVATION LAYER,0,DEPOSIT PASSIVATION,1,DEPOSIT PASSIVATION LAYER,0,DEPOSIT PASSIVATION LAYER,0,DEPOSIT PASSIVATION LAYER,0,DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE LINE WIDTH|MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY,DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE LINE WIDTH|CURE PASSIVATION|MEASURE PASSIVATION QUALITY,DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE LINE WIDTH|CURE PASSIVATION|THERMAL OXIDATION,DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE LINE WIDTH|CURE PASSIVATION|MEASURE PASSIVATION QUALITY
val_0002_f60,igbt,60,MEASURE SURFACE PLANARITY,DEVELOP PHOTORESIST,0,MEASURE PLANARITY,0,MEASURE PLANARITY,0,MEASURE PLANARITY,0,MEASURE PLANARITY,0,MEASURE PLANARITY,0,MEASURE PLANARITY,0,MEASURE PLANARITY|MEASURE SURFACE PLANARITY|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,MEASURE PLANARITY|MEASURE SURFACE PLANARITY|SPIN COAT PHOTORESIST|CMP DIELECTRIC|CMP INTERLAYER DIELECTRIC,MEASURE PLANARITY|MEASURE SURFACE PLANARITY|SPIN COAT PHOTORESIST|CMP DIELECTRIC|CMP INTERLAYER DIELECTRIC,MEASURE PLANARITY|CMP DIELECTRIC|EPITAXIAL DEPOSITION|DEPOSIT POLYSILICON|CURE PASSIVATION,MEASURE PLANARITY|CMP DIELECTRIC|SPIN COAT PHOTORESIST|SOFT BAKE|MEASURE DIELECTRIC THICKNESS
val_0002_f80,igbt,80,CURE PASSIVATION,DEVELOP PHOTORESIST,0,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION,1,CURE PASSIVATION|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE|STRIP RESIST,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION|MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS|DEPOSIT PASSIVATION,CURE PASSIVATION|MEASURE PASSIVATION QUALITY|MEASURE PASSIVATION THICKNESS|DEPOSIT PASSIVATION LAYER|DEPOSIT PASSIVATION,CURE PASSIVATION|DEPOSIT PASSIVATION LAYER|MEASURE PASSIVATION QUALITY|DEPOSIT PASSIVATION|MEASURE PASSIVATION THICKNESS
val_0003_f60,mosfet,60,MEASURE VIA CD,DEVELOP PHOTORESIST,0,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD,1,MEASURE VIA CD|DEPOSIT BARRIER METAL|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,MEASURE VIA CD|DEPOSIT BARRIER METAL|MEASURE LINE WIDTH|IMPLANT SOURCE REGION|MEASURE SURFACE UNIFORMITY,MEASURE VIA CD|DEPOSIT BARRIER METAL|CLEAN AFTER VIA ETCH|DEPOSIT METAL SEED|IMPLANT SOURCE REGION,MEASURE VIA CD|DEPOSIT BARRIER METAL|CLEAN AFTER VIA ETCH|SOFT BAKE|MEASURE OPENING CD,MEASURE VIA CD|DEPOSIT BARRIER METAL|CLEAN AFTER VIA ETCH|DEPOSIT METAL SEED|IMPLANT SOURCE REGION
val_0003_f80,mosfet,80,CLEAN PAD OPENING,DEVELOP PHOTORESIST,0,CLEAN PAD OPENING,1,CLEAN PAD OPENING,1,CLEAN PAD OPENING,1,CLEAN PAD OPENING,1,CLEAN PAD OPENING,1,CLEAN PAD OPENING,1,CLEAN PAD OPENING|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE|STRIP RESIST,CLEAN PAD OPENING|STRIP RESIST|STRIP PHOTORESIST|MEASURE PAD OPENING|CLEAN AFTER METAL ETCH,CLEAN PAD OPENING|STRIP RESIST|STRIP PHOTORESIST|MEASURE PAD OPENING|STRIP RESIST LEVEL 2,CLEAN PAD OPENING|CLEAN AFTER VIA ETCH|CLEAN AFTER METAL ETCH|MEASURE PAD OPENING|CLEAN AFTER WINDOW ETCH,CLEAN PAD OPENING|STRIP RESIST|MEASURE PAD OPENING|CLEAN AFTER VIA ETCH|PASSIVATION ETCH
val_0004_f60,ic,60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,0,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL,1,DEPOSIT BARRIER METAL|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE|STRIP RESIST,DEPOSIT BARRIER METAL|MEASURE VIA CD|IMPLANT SOURCE REGION|DEPOSIT TUNGSTEN SEED|IMPLANT WELL,DEPOSIT BARRIER METAL|MEASURE VIA CD|DEPOSIT TUNGSTEN SEED|IMPLANT SOURCE REGION|FILL VIA TUNGSTEN,DEPOSIT BARRIER METAL|MEASURE VIA CD|DEPOSIT TUNGSTEN SEED|FINAL CLEAN|CLEAN AFTER ETCH,DEPOSIT BARRIER METAL|MEASURE VIA CD|DEPOSIT TUNGSTEN SEED|FILL VIA TUNGSTEN|IMPLANT DRAIN / CATHODE REGION
val_0004_f80,ic,80,OPEN PAD WINDOW,DEVELOP PHOTORESIST,0,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW,1,OPEN PAD WINDOW|OPEN BOND PAD WINDOW|DEVELOP PHOTORESIST|SPIN COAT PHOTORESIST|SOFT BAKE,OPEN PAD WINDOW|OPEN BOND PAD WINDOW|MEASURE PASSIVATION QUALITY|OPEN PAD WINDOW LITHO|MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW|OPEN BOND PAD WINDOW|OPEN PAD WINDOW LITHO|MEASURE PASSIVATION QUALITY|PAD WINDOW LITHO,OPEN PAD WINDOW|PAD WINDOW LITHO|MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|METAL ETCH DRY,OPEN PAD WINDOW|PAD WINDOW LITHO|MEASURE PASSIVATION THICKNESS|MEASURE PASSIVATION QUALITY|DEVELOP PAD WINDOW
